SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
E-A-00143,2019-01-04,0.0,11.94444444,0.0,0.0,G,17.0
E-A-00399,2019-01-04,,,,,G,
E-A-00403,2019-01-04,45.74747475,60.0,50.20202020000001,50.20202020000001,G,92.0
E-A-00079,2019-01-04,61.83838384,62.0,79.22222222,79.22222222,G,107.0
E-E-00014,2019-01-04,40.17171717,47.0,37.03030303,35.8989899,G,84.0
E-E-00016,2019-01-04,60.72727273,65.0,55.55555556,50.50505051,G,87.0
E-A-00388,2019-01-04,0.0,3.5,0.0,0.0,G,6.0
E-E-00040,2019-01-04,0.0,10.0,0.0,0.0,G,17.0
E-E-00022,2019-01-04,13.03157895,13.0,12.85263158,12.85263158,G,21.0
E-E-00026,2019-01-04,11.53,11.53,11.53,10.44,G,18.0
E-E-00039,2019-01-04,5.0,6.0,5.0,5.0,G,12.0
E-E-00029,2019-01-04,15.16,13.0,11.41,11.56,G,20.0
E-E-00061,2019-01-04,9.46,10.0,9.11,7.61,G,16.0
A-E-00021,2019-01-04,0.0,250.0,0.0,0.0,A,312.0
A-E-00027,2019-01-04,131.3131313,105.0,0.0,0.0,A,146.0
A-B-00014,2019-01-04,83.74576271,86.0,68.28813559,84.30508475,A,118.0
A-B-00013,2019-01-04,49.90909091,52.0,40.696969700000004,50.24242424,A,70.0
